# Cluster 0 (n=144)
word	score	p_in	p_out	in_docs	out_docs
intelligent	4.0560	0.672	0.012	45	56
kitzmiller	4.0512	0.119	0.002	8	10
naturalistic	4.0512	0.119	0.002	8	10
explanations	4.0512	0.119	0.002	8	10
dover	3.8224	0.104	0.002	7	11
irreducible	3.8120	0.254	0.006	17	27
complexity	3.6461	0.358	0.009	24	45
arguments	3.5815	0.194	0.005	13	26
conclusion	3.5814	0.134	0.004	9	18
peer	3.4478	0.104	0.003	7	16
explained	3.4273	0.134	0.004	9	21
evolutionary	3.3872	0.104	0.004	7	17
scientists	3.2843	0.194	0.007	13	35
evolution	3.2679	0.284	0.011	19	52
explain	3.2630	0.119	0.005	8	22
design	3.1986	0.672	0.027	45	132
advocates	3.1760	0.104	0.004	7	21
argument	3.0636	0.209	0.010	14	47
district	3.0582	0.119	0.006	8	27
scientific	2.9755	0.448	0.023	30	110
explanation	2.9624	0.104	0.005	7	26
critics	2.9435	0.209	0.011	14	53
agent	2.8884	0.119	0.007	8	32
biological	2.8440	0.164	0.010	11	46
processes	2.8343	0.134	0.008	9	38
molecular	2.7866	0.104	0.006	7	31
cannot	2.7379	0.299	0.019	20	93
claim	2.6390	0.224	0.016	15	77
argue	2.6070	0.149	0.011	10	53
supporters	2.5570	0.104	0.008	7	39
complex	2.5436	0.254	0.020	17	96
stated	2.5401	0.134	0.011	9	51
religious	2.5222	0.194	0.016	13	75
context	2.4223	0.119	0.011	8	51
intelligence	2.3738	0.194	0.018	13	87
evidence	2.3599	0.209	0.020	14	95
science	2.3567	0.388	0.037	26	177
god	2.2271	0.179	0.019	12	93
whether	2.2246	0.194	0.021	13	101
nature	2.2050	0.194	0.021	13	103
claims	2.0235	0.119	0.016	8	76
view	2.0147	0.179	0.024	12	115
natural	1.9938	0.209	0.028	14	137
theory	1.9514	0.284	0.040	19	194
designed	1.9502	0.134	0.019	9	92
definition	1.9302	0.104	0.015	7	73
say	1.8998	0.119	0.018	8	86
concept	1.8952	0.149	0.022	10	108
yet	1.8899	0.104	0.016	7	76
life	1.8769	0.269	0.041	18	198
features	1.8668	0.134	0.021	9	100
william	1.8656	0.119	0.018	8	89
school	1.8605	0.164	0.026	11	123
leading	1.8262	0.104	0.017	7	81
systems	1.8197	0.254	0.041	17	198
outside	1.7209	0.104	0.019	7	90
actually	1.6774	0.104	0.020	7	94
function	1.5816	0.134	0.028	9	133
movement	1.5520	0.134	0.028	9	137
community	1.5385	0.104	0.022	7	108
need	1.5022	0.104	0.023	7	112
research	1.4094	0.134	0.033	9	158
what	1.4085	0.209	0.051	14	246
does	1.4060	0.194	0.048	13	229
defined	1.4055	0.119	0.029	8	141
possible	1.3661	0.134	0.034	9	165
terms	1.3609	0.104	0.027	7	129
therefore	1.3455	0.104	0.027	7	131
must	1.3303	0.164	0.043	11	209
itself	1.3080	0.104	0.028	7	136
way	1.2390	0.164	0.048	11	229
either	1.2034	0.104	0.031	7	151
because	1.1574	0.254	0.080	17	384
any	1.1084	0.269	0.089	18	427
rather	1.1027	0.104	0.035	7	167
john	1.1014	0.134	0.045	9	215
without	1.0604	0.134	0.047	9	224
means	1.0502	0.104	0.037	7	176
area	0.9949	0.104	0.039	7	186
can	0.9236	0.418	0.166	28	799
public	0.9075	0.104	0.042	7	203
while	0.8943	0.194	0.079	13	382
could	0.8480	0.134	0.058	9	277
thus	0.8454	0.104	0.045	7	216
within	0.8408	0.119	0.052	8	248
different	0.8312	0.149	0.065	10	313
system	0.8028	0.224	0.100	15	483
article	0.7783	0.119	0.055	8	264
being	0.7538	0.164	0.077	11	372
work	0.7448	0.119	0.057	8	273
about	0.7194	0.194	0.094	13	455
would	0.6972	0.209	0.104	14	501
more	0.6862	0.328	0.165	22	796
example	0.6837	0.164	0.083	11	399
they	0.6716	0.313	0.160	21	771
has	0.6255	0.433	0.232	29	1115
very	0.6039	0.104	0.057	7	275
there	0.5818	0.269	0.150	18	723
one	0.5805	0.343	0.192	23	925
out	0.5776	0.134	0.075	9	363
form	0.5717	0.104	0.059	7	284
such	0.5515	0.299	0.172	20	828
its	0.5469	0.328	0.190	22	915
often	0.5419	0.149	0.087	10	418
been	0.5371	0.284	0.166	19	798
than	0.5371	0.224	0.131	15	630
but	0.5117	0.358	0.215	24	1034
states	0.5029	0.194	0.117	13	565
their	0.4960	0.313	0.191	21	919
made	0.4598	0.119	0.075	8	363
his	0.4050	0.224	0.149	15	719
only	0.3571	0.209	0.146	14	704
then	0.3381	0.119	0.085	8	410
both	0.3116	0.119	0.087	8	421
2005	0.3099	0.104	0.077	7	369
who	0.2977	0.164	0.122	11	587
some	0.1961	0.209	0.172	14	827
many	0.1598	0.179	0.153	12	735
known	0.1294	0.104	0.092	7	442
may	0.1211	0.134	0.119	9	573
all	0.0875	0.194	0.178	13	856

# Cluster 28 (n=167)
word	score	p_in	p_out	in_docs	out_docs
insurance	3.4173	0.162	0.005	27	25
incest	3.1861	0.108	0.004	18	21
risk	2.4147	0.126	0.011	21	53
mental	2.3930	0.114	0.010	19	49
companies	2.3710	0.132	0.012	22	58
reason	2.2990	0.108	0.011	18	51
individuals	2.0457	0.120	0.015	20	73
children	1.9317	0.132	0.019	22	90
practice	1.8782	0.114	0.017	19	82
person	1.8316	0.138	0.022	23	104
cases	1.8207	0.168	0.027	28	128
legal	1.6968	0.138	0.025	23	119
company	1.6440	0.132	0.025	22	120
less	1.3516	0.156	0.040	26	190
should	1.3378	0.132	0.035	22	163
may	1.2668	0.389	0.110	65	517
will	1.2442	0.263	0.076	44	358
must	1.1928	0.138	0.042	23	197
often	1.1740	0.263	0.081	44	384
others	1.1729	0.114	0.035	19	166
usually	1.1479	0.144	0.046	24	215
example	1.1433	0.246	0.078	41	369
thus	1.1282	0.132	0.043	22	201
law	1.0871	0.150	0.050	25	238
sometimes	1.0661	0.108	0.037	18	175
generally	1.0604	0.108	0.037	18	176
does	1.0379	0.132	0.047	22	220
against	1.0308	0.168	0.060	28	282
without	1.0284	0.126	0.045	21	212
those	1.0264	0.156	0.056	26	263
due	0.9939	0.120	0.044	20	209
make	0.9816	0.114	0.043	19	201
where	0.9531	0.210	0.081	35	381
considered	0.9214	0.102	0.041	17	191
public	0.9110	0.102	0.041	17	193
any	0.9103	0.216	0.087	36	409
some	0.9097	0.407	0.164	68	773
even	0.8743	0.162	0.067	27	318
their	0.8659	0.437	0.184	73	867
what	0.8556	0.120	0.051	20	240
them	0.8358	0.150	0.065	25	306
who	0.8318	0.269	0.117	45	553
can	0.8278	0.371	0.162	62	765
countries	0.8192	0.108	0.048	18	224
large	0.7502	0.108	0.051	18	240
such	0.7473	0.353	0.167	59	789
people	0.7452	0.180	0.085	30	402
states	0.7415	0.240	0.114	40	538
however	0.7049	0.246	0.121	41	572
another	0.7014	0.120	0.059	20	280
within	0.6973	0.102	0.051	17	239
information	0.6779	0.108	0.055	18	258
than	0.6763	0.251	0.128	42	603
common	0.6403	0.102	0.054	17	253
most	0.6298	0.305	0.163	51	767
they	0.6216	0.293	0.158	49	743
other	0.6214	0.395	0.212	66	1001
many	0.6166	0.275	0.149	46	701
united	0.6035	0.204	0.111	34	525
under	0.5871	0.138	0.077	23	361
these	0.5779	0.263	0.148	44	697
been	0.5666	0.287	0.163	48	769
much	0.5642	0.102	0.058	17	273
form	0.5606	0.102	0.058	17	274
because	0.5411	0.138	0.080	23	378
more	0.5202	0.275	0.164	46	772
same	0.5162	0.120	0.071	20	337
through	0.5011	0.114	0.069	19	325
one	0.4938	0.311	0.190	52	896
has	0.4811	0.371	0.229	62	1082
since	0.4809	0.132	0.081	22	384
based	0.4720	0.108	0.067	18	317
while	0.4608	0.126	0.079	21	374
there	0.4501	0.234	0.149	39	702
would	0.4460	0.162	0.103	27	488
being	0.4418	0.120	0.077	20	363
including	0.4339	0.102	0.066	17	311
only	0.4279	0.222	0.144	37	681
made	0.4213	0.114	0.075	19	352
between	0.4017	0.168	0.112	28	529
over	0.3289	0.150	0.108	25	508
use	0.3113	0.150	0.110	25	517
out	0.3016	0.102	0.075	17	355
number	0.2691	0.126	0.096	21	453
when	0.2461	0.162	0.126	27	596
called	0.2099	0.108	0.087	18	412
used	0.2091	0.192	0.155	32	733
but	0.2030	0.263	0.215	44	1014
time	0.1800	0.144	0.120	24	566
then	0.1798	0.102	0.085	17	401
state	0.0892	0.102	0.093	17	439
also	0.0408	0.287	0.276	48	1301
see	0.0263	0.144	0.140	24	660

# Cluster 29 (n=39)
word	score	p_in	p_out	in_docs	out_docs
icc	4.2954	0.333	0.005	13	22
nationals	4.1282	0.154	0.002	6	12
prosecution	3.7227	0.103	0.002	4	12
personnel	3.4997	0.103	0.003	4	15
statute	3.4353	0.231	0.007	9	36
establishing	3.4351	0.103	0.003	4	16
crimes	3.4079	0.231	0.008	9	37
charter	3.3175	0.154	0.006	6	27
agreements	3.2955	0.128	0.005	5	23
citizens	3.2375	0.205	0.008	8	39
alleged	3.1168	0.103	0.005	4	22
jurisdiction	3.0944	0.205	0.009	8	45
concerning	2.9890	0.103	0.005	4	25
threat	2.9497	0.103	0.005	4	26
humanity	2.9120	0.103	0.006	4	27
council	2.7957	0.308	0.019	12	91
signed	2.7216	0.154	0.010	6	49
settlements	2.7114	0.103	0.007	4	33
court	2.6935	0.385	0.026	15	126
rome	2.6934	0.128	0.009	5	42
resolution	2.6815	0.103	0.007	4	34
officials	2.6815	0.103	0.007	4	34
chapter	2.6244	0.103	0.007	4	36
security	2.5826	0.333	0.025	13	122
providing	2.5443	0.103	0.008	4	39
measures	2.5393	0.128	0.010	5	49
treaty	2.5091	0.256	0.021	10	101
peace	2.4909	0.179	0.015	7	72
supporters	2.4702	0.103	0.009	4	42
agreement	2.3649	0.154	0.014	6	70
decided	2.3578	0.103	0.010	4	47
claimed	2.3507	0.154	0.015	6	71
assembly	2.3367	0.103	0.010	4	48
convention	2.2880	0.128	0.013	5	63
argued	2.2567	0.103	0.011	4	52
israel	2.2116	0.128	0.014	5	68
territory	2.1684	0.128	0.015	5	71
provided	2.0744	0.128	0.016	5	78
december	2.0183	0.154	0.020	6	99
legal	2.0033	0.205	0.028	8	134
relations	1.9595	0.103	0.014	4	70
countries	1.9529	0.333	0.047	13	229
nations	1.9130	0.231	0.034	9	165
rights	1.8462	0.128	0.020	5	98
operations	1.8259	0.103	0.017	4	80
iraq	1.7536	0.103	0.018	4	86
states	1.6382	0.590	0.115	23	555
international	1.5971	0.538	0.109	21	528
position	1.5830	0.103	0.021	4	102
foreign	1.5830	0.103	0.021	4	102
united	1.5784	0.538	0.111	21	538
article	1.5560	0.256	0.054	10	262
party	1.5408	0.128	0.027	5	133
force	1.5383	0.154	0.033	6	160
provide	1.5259	0.103	0.022	4	108
law	1.4816	0.231	0.052	9	254
under	1.4705	0.333	0.077	13	371
act	1.4544	0.103	0.024	4	116
upon	1.4544	0.103	0.024	4	116
military	1.3942	0.128	0.032	5	154
members	1.3931	0.154	0.038	6	185
standards	1.3877	0.103	0.026	4	124
president	1.3813	0.128	0.032	5	156
according	1.3749	0.128	0.032	5	157
never	1.3638	0.103	0.026	4	127
2004	1.3339	0.179	0.047	7	229
kingdom	1.3176	0.103	0.027	4	133
economic	1.3102	0.103	0.028	4	134
did	1.3052	0.154	0.042	6	202
national	1.2986	0.231	0.063	9	305
war	1.2458	0.282	0.081	11	393
government	1.2264	0.179	0.053	7	255
against	1.1907	0.205	0.062	8	302
cases	1.1841	0.103	0.031	4	152
2002	1.1667	0.154	0.048	6	232
certain	1.1266	0.103	0.033	4	161
state	1.1215	0.282	0.092	11	445
country	1.0984	0.128	0.043	5	207
over	1.0509	0.308	0.108	12	521
support	1.0375	0.103	0.036	4	176
general	1.0182	0.179	0.065	7	314
way	0.9716	0.128	0.049	5	235
case	0.9610	0.103	0.039	4	190
european	0.9453	0.103	0.040	4	193
2003	0.9248	0.103	0.041	4	197
since	0.9147	0.205	0.082	8	398
into	0.8997	0.308	0.125	12	606
had	0.8866	0.308	0.127	12	614
american	0.8452	0.154	0.066	6	320
make	0.8327	0.103	0.045	4	216
its	0.8306	0.436	0.190	17	920
due	0.7919	0.103	0.046	4	225
even	0.7875	0.154	0.070	6	339
became	0.7787	0.103	0.047	4	228
several	0.7647	0.128	0.060	5	289
made	0.7136	0.154	0.075	6	365
until	0.7068	0.103	0.051	4	245
any	0.6854	0.179	0.090	7	438
being	0.6812	0.154	0.078	6	377
british	0.6589	0.103	0.053	4	257
including	0.6535	0.128	0.067	5	323
who	0.6405	0.231	0.122	9	589
year	0.6359	0.103	0.054	4	263
will	0.6321	0.154	0.082	6	396
their	0.6299	0.359	0.191	14	926
been	0.6158	0.308	0.166	12	805
were	0.6149	0.359	0.194	14	940
when	0.5990	0.231	0.127	9	614
between	0.5931	0.205	0.113	8	549
work	0.5840	0.103	0.057	4	277
both	0.5661	0.154	0.087	6	423
could	0.5661	0.103	0.058	4	282
new	0.5590	0.205	0.117	8	568
part	0.5562	0.128	0.074	5	356
would	0.5372	0.179	0.105	7	508
there	0.5299	0.256	0.151	10	731
many	0.5217	0.256	0.152	10	737
before	0.5042	0.103	0.062	4	300
only	0.4551	0.231	0.146	9	709
because	0.4497	0.128	0.082	5	396
has	0.4308	0.359	0.233	14	1130
other	0.4263	0.333	0.218	13	1054
these	0.4232	0.231	0.151	9	732
them	0.4181	0.103	0.068	4	327
such	0.3933	0.256	0.173	10	838
people	0.3744	0.128	0.088	5	427
however	0.3608	0.179	0.125	7	606
they	0.3558	0.231	0.162	9	783
use	0.3294	0.154	0.111	6	536
world	0.3164	0.154	0.112	6	543
number	0.2806	0.128	0.097	5	469
years	0.2470	0.103	0.080	4	388
while	0.2393	0.103	0.081	4	391
called	0.1536	0.103	0.088	4	426
all	0.1431	0.205	0.178	8	861
see	0.0943	0.154	0.140	6	678
may	0.0733	0.128	0.119	5	577
time	0.0596	0.128	0.121	5	585
system	0.0055	0.103	0.102	4	494

# Cluster 30 (n=133)
word	score	p_in	p_out	in_docs	out_docs
representatives	2.8820	0.105	0.006	14	28
committee	2.4226	0.180	0.016	24	76
member	2.2298	0.188	0.020	25	96
organizations	2.1044	0.128	0.016	17	74
organization	2.1040	0.233	0.028	31	135
members	1.9341	0.233	0.034	31	160
court	1.8872	0.165	0.025	22	119
president	1.7836	0.173	0.029	23	138
council	1.7257	0.105	0.019	14	89
nations	1.5894	0.158	0.032	21	153
international	1.5676	0.489	0.102	65	484
countries	1.4581	0.195	0.045	26	216
legal	1.4392	0.113	0.027	15	127
every	1.3634	0.113	0.029	15	137
law	1.3219	0.188	0.050	25	238
national	1.2901	0.218	0.060	29	285
country	1.2571	0.143	0.041	19	193
support	1.1774	0.113	0.035	15	165
current	1.1518	0.105	0.033	14	158
public	1.1458	0.128	0.041	17	193
united	1.0650	0.316	0.109	42	517
states	1.0289	0.316	0.113	42	536
years	0.9308	0.195	0.077	26	366
government	0.9073	0.128	0.052	17	245
year	0.8871	0.128	0.053	17	250
work	0.8326	0.128	0.056	17	264
list	0.8069	0.113	0.050	15	239
those	0.8027	0.128	0.057	17	272
each	0.7909	0.158	0.072	21	340
may	0.7312	0.241	0.116	32	550
within	0.7254	0.105	0.051	14	242
its	0.7204	0.383	0.187	51	886
has	0.7159	0.466	0.228	62	1082
general	0.6915	0.128	0.064	17	304
under	0.6739	0.150	0.077	20	364
2005	0.5852	0.135	0.075	18	358
world	0.5739	0.195	0.110	26	523
any	0.5701	0.158	0.089	21	424
system	0.5010	0.165	0.100	22	476
their	0.4876	0.308	0.189	41	899
through	0.4873	0.113	0.069	15	329
been	0.4688	0.263	0.165	35	782
other	0.4525	0.338	0.215	45	1022
based	0.4430	0.105	0.068	14	321
these	0.4099	0.226	0.150	30	711
will	0.3921	0.120	0.081	16	386
state	0.3835	0.135	0.092	18	438
after	0.3264	0.158	0.114	21	541
all	0.3113	0.241	0.176	32	837
who	0.3103	0.165	0.121	22	576
example	0.3045	0.113	0.083	15	395
see	0.3035	0.188	0.139	25	659
about	0.2971	0.128	0.095	17	451
number	0.2839	0.128	0.096	17	457
only	0.2532	0.188	0.146	25	693
well	0.2482	0.105	0.082	14	390
there	0.2205	0.188	0.151	25	716
also	0.2088	0.338	0.275	45	1304
use	0.2042	0.135	0.110	18	524
they	0.1517	0.188	0.162	25	767
over	0.0999	0.120	0.109	16	517
two	0.0919	0.158	0.144	21	684
between	0.0545	0.120	0.114	16	541
one	0.0457	0.203	0.194	27	921
such	0.0392	0.180	0.174	24	824

# Cluster 31 (n=331)
word	score	p_in	p_out	in_docs	out_docs
anti	2.5754	0.130	0.010	43	45
treaty	2.3856	0.148	0.014	49	62
forces	2.2918	0.178	0.018	59	82
army	2.1856	0.133	0.015	44	68
war	2.0837	0.450	0.056	149	255
east	2.0262	0.193	0.025	64	116
asia	2.0041	0.103	0.014	34	63
japanese	1.9791	0.181	0.025	60	114
party	1.8950	0.136	0.020	45	93
foreign	1.8706	0.103	0.016	34	72
military	1.7826	0.145	0.024	48	111
india	1.7812	0.115	0.019	38	88
west	1.7047	0.127	0.023	42	105
civil	1.7046	0.103	0.019	34	85
political	1.6918	0.187	0.034	62	157
china	1.6886	0.112	0.021	37	94
western	1.6300	0.148	0.029	49	132
british	1.6172	0.211	0.042	70	191
government	1.6120	0.211	0.042	70	192
japan	1.6108	0.190	0.038	63	173
french	1.5993	0.109	0.022	36	100
republic	1.5932	0.118	0.024	39	109
economic	1.5029	0.103	0.023	34	104
against	1.4434	0.221	0.052	73	237
power	1.4037	0.136	0.033	45	152
led	1.3805	0.106	0.027	35	121
during	1.3666	0.269	0.069	89	312
free	1.3598	0.103	0.026	34	120
had	1.3298	0.408	0.108	135	491
became	1.3033	0.148	0.040	49	183
president	1.3031	0.103	0.028	34	127
until	1.2890	0.157	0.043	52	197
end	1.2153	0.154	0.046	51	208
support	1.1996	0.106	0.032	35	145
south	1.1979	0.121	0.036	40	166
european	1.1896	0.115	0.035	38	159
were	1.1895	0.556	0.169	184	770
irish	1.1775	0.103	0.032	34	144
under	1.0302	0.196	0.070	65	319
after	0.9505	0.269	0.104	89	473
control	0.9399	0.106	0.041	35	188
state	0.9304	0.215	0.085	71	385
following	0.9138	0.112	0.045	37	204
century	0.9080	0.133	0.054	44	244
later	0.8942	0.136	0.056	45	253
american	0.8646	0.145	0.061	48	278
would	0.7548	0.208	0.098	69	446
new	0.7522	0.233	0.110	77	499
people	0.7167	0.169	0.083	56	376
united	0.7094	0.218	0.107	72	487
states	0.7025	0.224	0.111	74	504
their	0.6896	0.360	0.180	119	821
out	0.6873	0.142	0.071	47	325
its	0.6739	0.353	0.180	117	820
general	0.6715	0.121	0.062	40	281
world	0.6646	0.205	0.106	68	481
over	0.6114	0.190	0.103	63	470
although	0.6098	0.109	0.059	36	269
who	0.5841	0.208	0.116	69	529
into	0.5792	0.215	0.120	71	547
between	0.5616	0.190	0.109	63	494
them	0.5483	0.112	0.065	37	294
first	0.5474	0.257	0.149	85	676
both	0.5257	0.142	0.084	47	382
when	0.5215	0.205	0.122	68	555
while	0.4653	0.124	0.078	41	354
since	0.4615	0.127	0.080	42	364
image	0.4600	0.160	0.101	53	460
made	0.4504	0.115	0.073	38	333
however	0.4183	0.184	0.121	61	552
years	0.4181	0.118	0.078	39	353
his	0.4024	0.218	0.145	72	662
part	0.3894	0.106	0.072	35	326
about	0.3554	0.133	0.093	44	424
well	0.3265	0.112	0.081	37	367
time	0.3258	0.163	0.118	54	536
but	0.2932	0.284	0.212	94	964
than	0.2679	0.169	0.129	56	589
more	0.2521	0.211	0.164	70	748
been	0.2377	0.208	0.164	69	748
then	0.2283	0.106	0.084	35	383
they	0.1896	0.193	0.160	64	728
most	0.1879	0.199	0.165	66	752
international	0.1806	0.133	0.111	44	505
only	0.1703	0.172	0.145	57	661
two	0.1315	0.163	0.143	54	651
some	0.1244	0.193	0.171	64	777
these	0.1169	0.169	0.151	56	685
many	0.0689	0.163	0.152	54	693

# Cluster 32 (n=59)
word	score	p_in	p_out	in_docs	out_docs
factories	5.3828	0.136	0.001	8	3
factory	4.2488	0.102	0.001	6	7
steam	4.1155	0.153	0.002	9	12
cotton	4.1153	0.102	0.002	6	8
coal	3.6412	0.119	0.003	7	15
engine	3.3426	0.153	0.005	9	26
goods	3.3387	0.169	0.006	10	29
revolution	3.2286	0.356	0.014	21	68
industrial	3.0536	0.356	0.017	21	81
18th	3.0172	0.136	0.007	8	32
iron	2.9864	0.136	0.007	8	33
workers	2.9372	0.153	0.008	9	39
employment	2.8630	0.102	0.006	6	28
machines	2.5652	0.119	0.009	7	44
production	2.4070	0.186	0.017	11	81
machine	2.3982	0.119	0.011	7	52
19th	2.3086	0.136	0.013	8	65
cities	2.3064	0.119	0.012	7	57
methods	2.2719	0.119	0.012	7	59
industry	2.2635	0.169	0.018	10	85
britain	2.2635	0.169	0.018	10	85
built	1.9674	0.119	0.017	7	80
century	1.9594	0.390	0.055	23	265
middle	1.9550	0.119	0.017	7	81
developed	1.9447	0.220	0.032	13	152
art	1.8515	0.102	0.016	6	77
period	1.8386	0.169	0.027	10	130
social	1.7765	0.102	0.017	6	83
development	1.7748	0.237	0.040	14	194
late	1.7645	0.136	0.023	8	112
early	1.7608	0.322	0.055	19	267
means	1.7468	0.203	0.035	12	171
made	1.7323	0.407	0.072	24	347
became	1.7317	0.254	0.045	15	217
movement	1.6808	0.153	0.028	9	137
water	1.6400	0.119	0.023	7	111
civil	1.6310	0.119	0.023	7	112
working	1.6206	0.102	0.020	6	97
technology	1.5778	0.136	0.028	8	135
great	1.5655	0.203	0.043	12	205
led	1.4858	0.136	0.031	8	148
began	1.4667	0.119	0.027	7	132
scientific	1.4591	0.119	0.028	7	133
local	1.4442	0.119	0.028	7	135
place	1.4141	0.136	0.033	8	159
main	1.4043	0.237	0.058	14	281
could	1.3591	0.220	0.057	13	273
were	1.3256	0.712	0.189	42	912
major	1.3043	0.186	0.051	11	244
work	1.2938	0.203	0.056	12	269
society	1.2806	0.119	0.033	7	159
british	1.2800	0.186	0.052	11	250
nations	1.2315	0.119	0.035	7	167
various	1.2137	0.119	0.035	7	170
during	1.1558	0.254	0.080	15	386
until	1.1202	0.153	0.050	9	240
power	1.1025	0.119	0.039	7	190
often	1.0882	0.254	0.086	15	413
large	1.0834	0.153	0.052	9	249
rather	1.0714	0.102	0.035	6	168
did	1.0462	0.119	0.042	7	201
had	1.0429	0.356	0.125	21	605
small	1.0320	0.136	0.048	8	233
among	0.9650	0.119	0.045	7	218
much	0.9625	0.153	0.058	9	281
law	0.9418	0.136	0.053	8	255
new	0.9107	0.288	0.116	17	559
considered	0.8871	0.102	0.042	6	202
modern	0.8606	0.119	0.050	7	242
they	0.8483	0.373	0.160	22	770
make	0.8294	0.102	0.044	6	214
what	0.8161	0.119	0.052	7	253
important	0.8109	0.102	0.045	6	218
government	0.8083	0.119	0.053	7	255
due	0.7882	0.102	0.046	6	223
such	0.7303	0.356	0.171	21	827
history	0.7231	0.153	0.074	9	357
first	0.6833	0.305	0.154	18	743
still	0.6739	0.102	0.052	6	250
within	0.6739	0.102	0.052	6	250
their	0.6725	0.373	0.190	22	918
another	0.6693	0.119	0.061	7	293
even	0.6630	0.136	0.070	8	337
end	0.6620	0.102	0.052	6	253
these	0.6520	0.288	0.150	17	724
known	0.6217	0.169	0.091	10	439
use	0.6156	0.203	0.110	12	530
time	0.6107	0.220	0.120	13	577
who	0.5969	0.220	0.121	13	585
then	0.5871	0.153	0.085	9	409
about	0.5793	0.169	0.095	10	458
after	0.5786	0.203	0.114	12	550
them	0.5688	0.119	0.067	7	324
into	0.5633	0.220	0.125	13	605
but	0.5515	0.373	0.215	22	1036
those	0.5499	0.102	0.059	6	283
later	0.5186	0.102	0.061	6	292
many	0.5159	0.254	0.152	15	732
system	0.5159	0.169	0.101	10	488
world	0.5136	0.186	0.112	11	538
used	0.4916	0.254	0.156	15	750
same	0.4916	0.119	0.073	7	350
part	0.4802	0.119	0.073	7	354
other	0.4457	0.339	0.217	20	1047
than	0.4380	0.203	0.131	12	633
people	0.4333	0.136	0.088	8	424
more	0.4233	0.254	0.166	15	803
being	0.4199	0.119	0.078	7	376
based	0.3993	0.102	0.068	6	329
years	0.3963	0.119	0.080	7	385
because	0.3732	0.119	0.082	7	394
war	0.3656	0.119	0.082	7	397
well	0.3656	0.119	0.082	7	397
its	0.3507	0.271	0.191	16	921
where	0.3358	0.119	0.085	7	409
his	0.3065	0.203	0.150	12	722
called	0.3021	0.119	0.088	7	423
when	0.2878	0.169	0.127	10	613
most	0.2777	0.220	0.167	13	805
while	0.2318	0.102	0.081	6	389
example	0.1940	0.102	0.084	6	404
only	0.1438	0.169	0.147	10	708
would	0.1190	0.119	0.105	7	508
over	0.0842	0.119	0.109	7	526
however	0.0778	0.136	0.125	8	605
international	0.0543	0.119	0.112	7	542
one	0.0469	0.203	0.194	12	936
all	0.0469	0.186	0.178	11	858

